ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Captcha,instr,MViolation,MViolation_Time_1,MViolation_Time_2,MViolation_Time_3,MViolation_Time_4,Conform,Conform_time_1,Conform_time_2,Conform_time_3,Conform_time_4,Malfunction,Malfunction_time_1,Malfunction_time_2,Malfunction_time_3,Malfunction_time_4,Agent_rel_1,Agent_rel_2,Agent_cause_1,Agent_cause_2,Object_Rel_1,Object_Rel_2,Object_cause_1,Object_cause_2,Control1_1_1,Control1_1_2,Control1_2_1,Control1_2_2,Control2_1_1,Control2_1_2,Control2_2_1,Control2_2_2,Control3_1_1,Control3_1_2,Control3_2_1,Control3_2_2,probability_4,morality,Sex,Age,Eth,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,DO-BR-FL_15,DO-BR-FL_22,DO-BL-AgentQuestions,DO-BL-ObjectQuestions,DO-Q-MViolation,DO-Q-Conform,DO-Q-Object_Rel,DO-Q-Agent_rel,LocationLatitude,LocationLongitude,LocationAccuracy
R_29mJditG3gJfYl0,Default Response Set,Anonymous,,,66.69.126.48,0,10/7/2016 17:23,10/7/2016 17:26,1,1,1,1,1,0,0,64.449,0,,,,,,,,,,,2,1,,1,,,,,1,,1,,1,,1,,,1,1,,80,6,1,26,1,,,,,,,,Moral norm violation,Agent Questions,Agent_rel|Agent_cause,,,,,2|1,29.5697937,-98.6160965,-1
R_570VMBqHzys837j,Default Response Set,Anonymous,,,73.66.0.171,0,10/7/2016 17:25,10/7/2016 17:27,1,1,1,1,1,2.157,11.157,41.535,2,,,,,,,,,,,,,,,2,2,1,1,1,,1,,1,,1,,,,1,,87,6,1,21,2,,1,,,,,,Moral norm violation,Object Questions,,Object_Rel|Object_cause,,,2|1,,38.78430176,-121.3706055,-1
R_zZuWm8Z0NJcYLcJ,Default Response Set,Anonymous,,,71.75.34.150,0,10/7/2016 17:23,10/7/2016 17:27,1,1,1,1,1,0,0,25.127,0,,,,,,,,,,,,,,,2,1,,1,1,,1,,1,,1,,,1,1,1,75,8,1,46,2,,,,,1,,,Moral norm violation,Object Questions,,Object_cause|Object_Rel,,,2|1,,35.46470642,-81.57620239,-1
R_1OBTCdwdWFG02N2,Default Response Set,Anonymous,,,73.67.233.38,0,10/7/2016 17:24,10/7/2016 17:27,1,1,1,1,,,,,,,,,,,1,0,0,44.122,0,2,1,,1,,,,,,1,1,,1,1,1,,1,1,1,1,90,9,2,29,2,,,,,1,,,Malfunction,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,45.44700623,-122.7667999,-1
R_2uprVZOXrXG3H4P,Default Response Set,Anonymous,,,47.187.96.195,0,10/7/2016 17:23,10/7/2016 17:27,1,1,1,1,,,,,,,,,,,1,75.978,77.061,153.354,4,1,1,1,1,,,,,1,1,1,,1,1,1,,1,,,,100,5,1,35,2,,,,,1,,,Malfunction,Agent Questions,Agent_cause|Agent_rel,,,,,2|1,32.77870178,-96.82170105,-1
R_2bTZgqqdBSBEDSI,Default Response Set,Anonymous,,,68.97.208.196,0,10/7/2016 17:23,10/7/2016 17:27,1,1,1,1,1,0,0,56.552,0,,,,,,,,,,,,,,,2,2,,1,1,,1,,1,,1,,,1,1,1,51,7,2,54,2,,,,,1,,,Moral norm violation,Object Questions,,Object_cause|Object_Rel,,,2|1,,35.61639404,-97.63690186,-1
R_12Phio9c4u3GFKS,Default Response Set,Anonymous,,,97.120.41.52,0,10/7/2016 17:26,10/7/2016 17:27,1,1,1,1,,,,,,1,0,0,41.294,0,,,,,,,,,,2,2,1,1,1,,1,,1,,1,,1,1,1,1,100,10,2,24,2,,,,,1,,,Norm conforming,Object Questions,,Object_cause|Object_Rel,,,1|2,,45.53770447,-122.6006012,-1
R_ymzkAx5Zd2udAbv,Default Response Set,Anonymous,,,198.8.80.153,0,10/7/2016 17:25,10/7/2016 17:28,1,1,1,1,,,,,,,,,,,1,0,0,49.84,0,2,1,,1,,,,,,1,1,,1,1,1,,1,1,1,1,90,10,1,35,2,,,,,1,,,Malfunction,Agent Questions,Agent_cause|Agent_rel,,,,,1|2,34.04379272,-118.2512054,-1
R_12aopx7rF7PSvDa,Default Response Set,Anonymous,,,184.4.197.94,0,10/7/2016 17:23,10/7/2016 17:28,1,1,1,1,,,,,,,,,,,1,0,0,74.167,0,2,2,,1,,,,,,1,1,,1,1,1,,1,1,1,1,,9,2,64,2,,,,,1,,,Malfunction,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,28.77600098,-81.71520233,-1
R_2VezBO1h2x3zGNZ,Default Response Set,Anonymous,,,24.30.63.117,0,10/7/2016 17:24,10/7/2016 17:28,1,1,1,1,,,,,,1,0,0,66.581,0,,,,,,2,2,1,1,,,,,1,,1,,1,,1,,,1,1,1,50,6,2,37,2,,,,1,,,,Norm conforming,Agent Questions,Agent_cause|Agent_rel,,,,,2|1,34.09179688,-84.22090149,-1
